Тунелі та їхні довжини:
Тунель 1: (80.50, 76.89, 65.65, 82.38), Довжина: 15.83
Тунель 2: (10.36, 151.32, 26.81, 155.04), Довжина: 16.87
Тунель 3: (68.63, 70.44, 53.91, 54.53), Довжина: 21.67
Тунель 4: (25.21, 127.53, 41.77, 108.11), Довжина: 25.52
Тунель 5: (53.81, 158.31, 52.99, 136.70), Довжина: 21.63
Тунель 6: (61.39, 132.17, 68.02, 122.22), Довжина: 11.95
Тунель 7: (129.92, 90.82, 102.75, 86.76), Довжина: 27.47
Тунель 8: (17.14, 24.86, 33.78, 25.39), Довжина: 16.64
Тунель 9: (94.43, 43.96, 100.92, 17.74), Довжина: 27.01
Тунель 10: (72.01, 9.31, 61.69, 12.56), Довжина: 10.82
Тунель 11: (157.47, 108.64, 175.94, 98.13), Довжина: 21.26
Тунель 12: (162.75, 26.86, 172.16, 6.19), Довжина: 22.71
Тунель 13: (157.55, 66.73, 151.44, 78.07), Довжина: 12.88
Тунель 14: (9.27, 125.00, 12.68, 107.39), Довжина: 17.93
Тунель 15: (39.66, 19.82, 52.78, 31.58), Довжина: 17.62
Тунель 16: (57.73, 119.02, 45.36, 136.31), Довжина: 21.27
Тунель 17: (41.17, 137.52, 23.70, 115.98), Довжина: 27.74
Тунель 18: (121.70, 60.19, 137.83, 35.59), Довжина: 29.41
Тунель 19: (155.06, 163.84, 168.11, 178.42), Довжина: 19.57
Тунель 20: (69.42, 133.50, 57.44, 145.28), Довжина: 16.81
Тунель 21: (137.22, 48.91, 114.12, 61.15), Довжина: 26.14
Тунель 22: (44.76, 187.86, 74.29, 183.23), Довжина: 29.90
Тунель 23: (99.78, 128.09, 73.99, 118.06), Довжина: 27.67
Тунель 24: (120.91, 186.34, 94.11, 198.25), Довжина: 29.32
Тунель 25: (114.49, 65.57, 100.38, 57.54), Довжина: 16.23
Тунель 26: (7.54, 151.26, 6.43, 131.54), Довжина: 19.75
Тунель 27: (17.19, 140.06, 30.54, 131.16), Довжина: 16.05
Тунель 28: (43.18, 164.00, 64.17, 143.86), Довжина: 29.09
Тунель 29: (147.41, 66.25, 127.77, 59.27), Довжина: 20.84
Тунель 30: (181.92, 111.65, 183.36, 101.54), Довжина: 10.21
Тунель 31: (43.17, 164.20, 44.64, 144.76), Довжина: 19.50
Тунель 32: (126.59, 167.63, 151.70, 173.07), Довжина: 25.69
Тунель 33: (33.67, 142.60, 45.02, 164.98), Довжина: 25.09
Тунель 34: (157.31, 90.47, 171.58, 114.47), Довжина: 27.92
Тунель 35: (179.85, 149.43, 153.39, 144.50), Довжина: 26.91
Тунель 36: (68.68, 194.39, 90.85, 177.02), Довжина: 28.17
Тунель 37: (25.34, 171.37, 29.72, 190.69), Довжина: 19.81
Тунель 38: (164.82, 191.81, 177.78, 167.88), Довжина: 27.21
Тунель 39: (33.75, 130.48, 19.65, 127.44), Довжина: 14.42
Тунель 40: (79.66, 133.39, 103.77, 150.18), Довжина: 29.38
Тунель 41: (136.89, 131.36, 117.60, 150.15), Довжина: 26.93
Тунель 42: (139.59, 41.55, 115.00, 28.59), Довжина: 27.80
Тунель 43: (43.16, 131.52, 31.95, 140.16), Довжина: 14.16
